run_id,captured_at,query,rank,title,snippet,url,normalized_url,domain,domain_key,error_reason
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,1,Risk assessment of mold growth across the US due to ...,by S Vecherin · 2024 · Cited by 9 — This paper describes a probabilistic framework for mold growth risk assessment on various construction materials and shows its application across a variety of ...Read more,https://www.sciencedirect.com/science/article/pii/S0360132324003408,https://www.sciencedirect.com/science/article/pii/S0360132324003408,www.sciencedirect.com,sciencedirect.com,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,3,A Predictive Model for the Growth Diameter of Mold under ...,"by C Wang · 2024 · Cited by 12 — This work established a mold growth diameter prediction model using temperature and relative humidity, clarified the range and direction of ...Read more",https://www.mdpi.com/2075-5309/14/1/215,https://www.mdpi.com/2075-5309/14/1/215,www.mdpi.com,mdpi.com,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,5,Guideline for Assessing the Risk of Mould Growth with WUFI,"Jul 16, 2024 — Growth requirements for mould: Reduction to the essential influencing factors temperature and humidity, their combined exposure time as well as ...Read more47 pages",https://wufi.de/download/guideline/Guideline_MouldGrowthRisk_20240716.pdf,https://wufi.de/download/guideline/Guideline_MouldGrowthRisk_20240716.pdf,wufi.de,wufi.de,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,7,Review of mould prediction models and their influence on ...,The current paper gives an overview of the different existing models and analyses the impact of the mould prediction model on the mould risk evaluation. To do ...Read more,https://www.researchgate.net/publication/257171294_Review_of_mould_prediction_models_and_their_influence_on_mould_risk_evaluation,https://www.researchgate.net/publication/257171294_Review_of_mould_prediction_models_and_their_influence_on_mould_risk_evaluation,www.researchgate.net,researchgate.net,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,9,Mold Growth Risk Calculator (After Leaks & Water Damage),"1 day ago — Estimate mold growth risk after a leak or flood. Get a risk level, 24–48 hour response plan, salvage guidance, and a shareable PDF report.",https://www.palmbld.com/tools/mold-growth-risk-calculator,https://www.palmbld.com/tools/mold-growth-risk-calculator,www.palmbld.com,palmbld.com,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,11,Indoor Mould – - Health Risk Assessment and Management,"Jul 16, 2024 — Mould growth may increase the number of spores, allergens and other toxins in indoor air, which may result in poorer indoor air quality and risk ...Read more44 pages",https://www.health.wa.gov.au/~/media/Corp/Documents/Health-for/Mould/Indoor-Mould--Health-Risk-Assessment-and-Management.pdf,https://www.health.wa.gov.au/~/media/Corp/Documents/Health-for/Mould/Indoor-Mould--Health-Risk-Assessment-and-Management.pdf,www.health.wa.gov.au,health.wa.gov.au,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,13,Understanding Indoor Mold Growth: Estimating Time of ...,by FEBP Fallah — This paper discusses the rate of fungal growth indoors and the possibility of estimating the time of growth from a water loss.Read more,https://www.jsheld.com/insights/articles/understanding-indoor-mold-growth-estimating-time-of-mold-growth,https://www.jsheld.com/insights/articles/understanding-indoor-mold-growth-estimating-time-of-mold-growth,www.jsheld.com,jsheld.com,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,15,How well do mould models predict mould growth in ...,"by P Johansson · 2021 · Cited by 37 — Mould prediction models aim to predict whether mould will grow on a specific material in a part of building with a known, or simulated, relative humidity and ...Read more",https://www.sciencedirect.com/science/article/abs/pii/S2352710221001571,https://www.sciencedirect.com/science/article/abs/pii/S2352710221001571,www.sciencedirect.com,sciencedirect.com,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,17,Mould Assessment Recommendations,"A mould assessment determines if mould is present, but does not determine or estimate mould exposure.8 pages",https://ncceh.ca/sites/default/files/Mould_Assessment_Evidence_Review_March_2014.pdf,https://ncceh.ca/sites/default/files/Mould_Assessment_Evidence_Review_March_2014.pdf,ncceh.ca,ncceh.ca,
20260312-102832,2026-03-12T02:28:45.600Z,Mold risk prediction mold growth forecast; mold hazard analysis -site:alibaba.com,19,American Industrial Hygiene Association (AIHA) The Facts ...,Introduction The Facts About Mold: For Everyone. What is mold? How does mold get into a house or building? How can I prevent mold growth? Can mold be toxic?Read more,https://www.milfordct.us/DocumentCenter/View/789,https://www.milfordct.us/DocumentCenter/View/789,www.milfordct.us,milfordct.us,
